"baumnummer,C,20","hochwert,N,19,11","rechtswert,N,19,11","ga_lang,C,80","GEBIET,C,80","STRASSE,C,100"
" 360",6071850.13533,3526239.47878,"Betula pendula 'Tristis', Hängebirke","Flensburger Friedhöfe AöR","Friedenshügel (O1515011)"
" 420",6071806.87587,3526230.35064,"Betula pendula, Sand-Birke","Flensburger Friedhöfe AöR","Friedenshügel (O1515011)"
" 440",6071766.12995,3526203.36309,"Betula pendula, Sand-Birke","Flensburger Friedhöfe AöR","Friedenshügel (O1515011)"
" 470",6071741.12678,3526193.04432,"Betula pendula, Sand-Birke","Flensburger Friedhöfe AöR","Friedenshügel (O1515011)"
" 480",6071738.74553,3526199.7912,"Betula pendula, Sand-Birke","Flensburger Friedhöfe AöR","Friedenshügel (O1515011)"
" 490",6071747.07992,3526202.96621,"Betula pendula, Sand-Birke","Flensburger Friedhöfe AöR","Friedenshügel (O1515011)"
" 510",6071763.48412,3526210.24227,"Betula pendula 'Tristis', Hängebirke","Flensburger Friedhöfe AöR","Friedenshügel (O1515011)"
" 520",6071771.68622,3526213.94644,"Betula pendula, Sand-Birke","Flensburger Friedhöfe AöR","Friedenshügel (O1515011)"
" 530",6071759.57268,3526196.86755,"Fagus sylvatica, Rotbuche","Flensburger Friedhöfe AöR","Friedenshügel (O1515011)"
" 540",6071754.75285,3526182.46096,"Sorbus intermedia, Schwedische Mehlbeere","Flensburger Friedhöfe AöR","Friedenshügel (O1515011)"
" 550",6071764.67474,3526182.72555,"Sorbus intermedia, Schwedische Mehlbeere","Flensburger Friedhöfe AöR","Friedenshügel (O1515011)"
" 600",6071764.54245,3526176.77241,"Sorbus intermedia, Schwedische Mehlbeere","Flensburger Friedhöfe AöR","Friedenshügel (O1515011)"
" 610",6071754.72639,3526176.79887,"Sorbus intermedia, Schwedische Mehlbeere","Flensburger Friedhöfe AöR","Friedenshügel (O1515011)"
" 630",6071793.46147,3526170.13135,"Carpinus betulus, Gemeine Hainbuche","Flensburger Friedhöfe AöR","Friedenshügel (O1515011)"
" 670",6071787.5414,3526151.84199,"Betula pendula, Sand-Birke","Flensburger Friedhöfe AöR","Friedenshügel (O1515011)"
" 680",6071767.53225,3526157.9605,"Betula pendula 'Tristis', Hängebirke","Flensburger Friedhöfe AöR","Friedenshügel (O1515011)"
" 690",6071751.97472,3526168.54385,"Fraxinus pennsylvanica, Rot-Esche","Flensburger Friedhöfe AöR","Friedenshügel (O1515011)"
" 700",6071740.75636,3526164.31051,"Abies veitchii, Veitchs Tanne","Flensburger Friedhöfe AöR","Friedenshügel (O1515011)"
" 720",6071757.16056,3526157.21966,"Abies veitchii, Veitchs Tanne","Flensburger Friedhöfe AöR","Friedenshügel (O1515011)"
" 730",6071765.62725,3526153.72715,"Abies veitchii, Veitchs Tanne","Flensburger Friedhöfe AöR","Friedenshügel (O1515011)"
" 740",6071773.67059,3526150.12881,"Abies veitchii, Veitchs Tanne","Flensburger Friedhöfe AöR","Friedenshügel (O1515011)"
" 750",6071763.63705,3526132.99925,"Prunus avium, Vogel-Kirsche","Flensburger Friedhöfe AöR","Friedenshügel (O1515011)"
" 760",6071745.01529,3526141.45341,"Prunus avium, Vogel-Kirsche","Flensburger Friedhöfe AöR","Friedenshügel (O1515011)"
