Abelia chinensis,Chinesische Abelie
Fagus sylvatica 'Laciniata',Geschlitztblättrige Buche 'Laciniata'
Fagus sylvatica 'Pendula',Hänge-Buche
Fagus sylvatica 'Pendula',Hängende Rotbuche
Fagus sylvatica 'Purpurea',Blut-Buche
Fagus sylvatica 'Purpurea Pendula',Schwarzrote Hängeblutbuche 'Purpurea Pendula'
Fagus sylvatica 'Riversii',Rot-Buche 'Riversii'
Fagus sylvatica,Rotbuche
Fagus sylvatica 'Tortuosa',Süntel-Buche
Fallopia baldschuanica,Schling-Knöterich
Fatsia japonica,Zimmeraralie
Feijoa sellowiana,Brasilianische Guave
Ficus benjamina,Birken-Feige
Ficus carica,Echter Feigenbaum
Ficus elastica,Gummibaum
Ficus lyrata,Leier-Feige
Ficus macrophylla,Großblättrige Feige
Ficus microcarpa,Chinesische Feige
Ficus sycomorus,Maulbeer-Feige
Firmiana simplex,Sonnenschirmbaum
Forsythia x intermedia,Forsythie
Fortunella margarita,Kumquat
Fothergilla major,Großer Federbuschstrauch
Frangula alnus,Gemeiner Faulbaum
Fraxinus americana 'Autumn Purple',Herbst-Purpur-Esche
Fraxinus americana 'Skyline',Skyline-Esche
Fraxinus americana,Weiß-Esche
Fraxinus angustifolia,Schmalblättrige Esche
Fraxinus cf. pennsylvanica,Möglicherweise Pennsylvania-Esche
Fraxinus excelsior 'Diversifolia',Einblättrige Esche
Fraxinus excelsior 'Diversifolia',Verschiedenblättrige Gemeine Esche
Fraxinus excelsior f. diversifolia,Einblatt-Esche
Fraxinus excelsior f. pendula,Hänge-Esche
Fraxinus excelsior,Gemeine Esche
Fraxinus excelsior,Gemeine Esche
Fraxinus excelsior 'Globosa',Rhamnus frangula
Fraxinus excelsior 'Nana',Kugel-Esche 'Nana'
Fraxinus excelsior 'Nana',Zwerg-Gemeine Esche
Fraxinus excelsior 'Pendula',Hänge-Esche
Fraxinus excelsior 'Westhof Glorie',Straßenesche 'Westhof Glorie'
Fraxinus excelsior 'Westhof's Glorie',Westhof's Glorie-Gemeine Esche
Fraxinus latifolia,Oregon-Esche
Fraxinus ornus,Blumen-Esche
