id,species_id,district_id,object_id,hochwert,rechtswert,topology,tree_type,tree_species,trunk_diameter,crown_diameter,total_height,felling_year,plant_year,geom 
 18248,,,18247,3530325.866,6075424.54247,28.13,,Baumgruppe/flächiger Bestand,,,,2023,,9.470578,54.807164
 18277,,,18276,3526740.50515,6074581.17988,33.01,,Baumgruppe/flächiger Bestand,,,,2023,,9.414742,54.799792
 18287,,,18286,3531600.34433,6076663.47314,28.27,,Baumgruppe/flächiger Bestand,,,,2023,,9.490533,54.818214
 18290,,,18289,3532460.00714,6077430.333130001,13.73,,Baumgruppe/flächiger Bestand,,,,2023,,9.503992,54.825048
 18694,,,18693,3529573.98062,6072466.5349,51.79,,Acer pseudoplatanus,,,,2023,,9.458583,54.780637
5652,,,5651,3530186.908,6075400.617,31.06,,Tilia x vulgaris 'Pallida',,,,2023,,9.468414,54.806957
7170,,,7169,3531254.52826,6072564.34787,43.98,,Baumgruppe/flächiger Bestand,,,,2023,,9.484711,54.781414
 14095,,,14094,3527012.70837,6074723.98976,26.61,,Malus domestica,,,,2023,,9.418988,54.80106
 15283,,,15282,3529518.99928,6073791.258270001,33.34,,Baumgruppe/flächiger Bestand,,,,2023,,9.457863,54.79254
 16326,,,16325,3527830.72367,6072435.586409999,22.17,,Baumgruppe/flächiger Bestand,,,,2023,,9.431487,54.780459
 18185,,,18184,3529031.76601,6071476.836050001,42.79,,Baumgruppe/flächiger Bestand,,,,2023,,9.450057,54.771779
 18304,,,18303,3525982.03063,6071824.53942,40.45,,Baumgruppe/flächiger Bestand,,,,2023,,9.402701,54.775069
 18631,,,18630,3530141.36013,6075886.10155,21.84,,Baumgruppe/flächiger Bestand,,,,2023,,9.467756,54.811321
